iter	Passed	Remaining
0	186	185914
1	188	94180
2	190	63469
3	193	48071
4	195	38966
5	198	32821
6	200	28438
7	202	25112
8	204	22571
9	207	20505
10	209	18836
11	212	17462
12	214	16270
13	216	15250
14	218	14364
15	220	13575
16	223	12895
17	225	12287
18	227	11736
19	229	11237
20	231	10779
21	232	10351
22	235	9990
23	237	9641
24	238	9316
25	240	9019
26	242	8741
27	244	8480
28	246	8244
29	248	8043
30	251	7854
31	253	7670
32	255	7490
33	258	7351
34	261	7210
35	264	7074
36	266	6941
37	269	6828
38	272	6702
39	274	6587
40	276	6468
41	278	6356
42	281	6254
43	283	6158
44	286	6075
45	288	5987
46	293	5959
47	296	5875
48	298	5798
49	302	5753
50	304	5671
51	306	5590
52	308	5515
53	310	5442
54	312	5374
55	316	5328
56	318	5263
57	320	5199
58	322	5142
59	324	5084
60	328	5062
61	331	5011
62	333	4963
63	336	4918
64	338	4868
65	340	4825
66	342	4773
67	343	4713
68	345	4666
69	348	4623
70	351	4594
71	353	4554
72	355	4511
73	357	4471
74	359	4437
75	361	4397
76	363	4361
77	366	4332
78	369	4307
79	374	4310
80	379	4300
81	381	4269
82	383	4241
83	385	4208
84	387	4168
85	389	4138
86	391	4104
87	393	4078
88	396	4054
89	398	4027
90	400	3999
91	402	3976
92	405	3951
93	407	3930
94	410	3906
95	412	3886
96	415	3864
97	417	3841
98	419	3822
99	421	3797
100	424	3782
101	426	3752
102	428	3730
103	431	3713
104	433	3693
105	435	3674
106	438	3658
107	440	3639
108	442	3619
109	444	3600
110	447	3586
111	450	3570
112	453	3557
113	455	3540
114	458	3525
115	460	3507
116	463	3495
117	465	3478
118	467	3463
119	470	3447
120	472	3428
121	474	3412
122	475	3392
123	478	3377
124	480	3361
125	482	3345
126	484	3330
127	486	3311
128	488	3295
129	490	3283
130	492	3267
131	494	3249
132	495	3231
133	497	3217
134	499	3201
135	502	3190
136	504	3177
137	505	3159
138	507	3143
139	509	3128
140	511	3113
141	512	3096
142	514	3084
143	516	3070
144	518	3055
145	519	3040
146	521	3026
147	523	3012
148	524	2998
149	526	2984
150	528	2973
151	530	2960
152	532	2946
153	534	2933
154	535	2920
155	537	2907
156	539	2894
157	540	2882
158	543	2872
159	544	2860
160	546	2850
161	548	2839
162	550	2827
163	552	2816
164	554	2804
165	555	2791
166	557	2781
167	559	2770
168	561	2759
169	562	2747
170	564	2737
171	566	2726
172	567	2715
173	569	2705
174	571	2695
175	573	2685
176	575	2675
177	577	2666
178	579	2656
179	580	2645
180	581	2632
181	583	2622
182	585	2613
183	587	2604
184	589	2595
185	590	2585
186	592	2575
187	594	2565
188	595	2557
189	597	2547
190	599	2538
191	601	2530
192	603	2521
193	604	2512
194	606	2504
195	608	2496
196	610	2487
197	611	2478
198	613	2470
199	615	2461
200	617	2453
201	618	2444
202	620	2436
203	622	2427
204	623	2418
205	625	2410
206	627	2402
207	628	2394
208	630	2386
209	632	2378
210	633	2370
211	635	2362
212	637	2355
213	639	2347
214	640	2339
215	642	2332
216	644	2325
217	646	2317
218	647	2309
219	649	2302
220	651	2295
221	653	2289
222	655	2284
223	657	2278
224	659	2271
225	661	2265
226	663	2259
227	665	2252
228	666	2245
229	668	2238
230	670	2232
231	672	2224
232	673	2218
233	675	2211
234	677	2204
235	678	2197
236	680	2191
237	682	2184
238	684	2178
239	685	2171
240	687	2165
241	688	2158
242	690	2151
243	692	2144
244	693	2138
245	695	2131
246	697	2125
247	699	2120
248	701	2114
249	702	2108
250	704	2103
251	706	2097
252	708	2090
253	709	2084
254	711	2079
255	713	2073
256	715	2067
257	716	2061
258	718	2055
259	719	2049
260	721	2042
261	723	2037
262	725	2032
263	727	2027
264	729	2023
265	731	2018
266	733	2013
267	735	2010
268	737	2004
269	739	1998
270	741	1993
271	742	1988
272	744	1982
273	746	1976
274	747	1971
275	749	1966
276	751	1961
277	753	1956
278	755	1952
279	757	1947
280	758	1941
281	760	1936
282	762	1930
283	763	1925
284	765	1920
285	767	1916
286	769	1911
287	771	1906
288	772	1901
289	774	1896
290	776	1891
291	778	1886
292	780	1882
293	781	1877
294	783	1872
295	785	1868
296	787	1863
297	788	1858
298	790	1854
299	792	1848
300	793	1843
301	795	1838
302	797	1834
303	799	1831
304	801	1826
305	803	1823
306	806	1819
307	808	1815
308	810	1813
309	813	1809
310	815	1805
311	817	1802
312	819	1797
313	821	1793
314	823	1790
315	825	1786
316	827	1782
317	829	1779
318	831	1775
319	835	1775
320	837	1772
321	839	1768
322	842	1764
323	844	1761
324	846	1758
325	849	1755
326	851	1752
327	854	1750
328	856	1747
329	858	1743
330	862	1742
331	865	1741
332	867	1738
333	869	1734
334	872	1731
335	874	1728
336	877	1725
337	879	1722
338	881	1719
339	884	1717
340	886	1713
341	889	1710
342	891	1707
343	893	1704
344	896	1702
345	898	1698
346	901	1695
347	903	1693
348	906	1690
349	908	1686
350	910	1683
351	912	1679
352	914	1675
353	916	1672
354	918	1668
355	920	1665
356	922	1661
357	924	1658
358	927	1655
359	928	1651
360	931	1648
361	933	1645
362	936	1642
363	938	1640
364	940	1636
365	942	1633
366	944	1629
367	946	1625
368	949	1624
369	952	1621
370	954	1617
371	957	1615
372	959	1612
373	962	1610
374	964	1607
375	966	1603
376	968	1601
377	970	1597
378	973	1594
379	975	1591
380	977	1587
381	979	1584
382	981	1581
383	983	1577
384	985	1574
385	987	1571
386	989	1567
387	991	1564
388	993	1561
389	995	1557
390	998	1554
391	1001	1552
392	1003	1550
393	1006	1547
394	1008	1543
395	1010	1540
396	1012	1537
397	1014	1533
398	1016	1530
399	1018	1528
400	1021	1525
401	1024	1523
402	1026	1520
403	1028	1517
404	1030	1514
405	1032	1510
406	1034	1507
407	1036	1504
408	1038	1500
409	1040	1497
410	1043	1495
411	1045	1492
412	1048	1490
413	1050	1487
414	1053	1484
415	1055	1481
416	1057	1478
417	1059	1475
418	1061	1472
419	1063	1468
420	1065	1465
421	1067	1462
422	1069	1459
423	1072	1456
424	1074	1454
425	1077	1451
426	1079	1448
427	1081	1445
428	1083	1442
429	1086	1440
430	1089	1437
431	1091	1435
432	1093	1432
433	1096	1429
434	1098	1426
435	1100	1423
436	1102	1420
437	1104	1417
438	1106	1414
439	1109	1411
440	1111	1408
441	1113	1405
442	1116	1403
443	1118	1400
444	1120	1396
445	1122	1394
446	1123	1390
447	1125	1387
448	1127	1384
449	1129	1380
450	1131	1377
451	1133	1374
452	1135	1370
453	1136	1367
454	1139	1364
455	1140	1360
456	1143	1358
457	1145	1355
458	1147	1352
459	1148	1348
460	1150	1345
461	1152	1342
462	1154	1338
463	1156	1336
464	1158	1333
465	1160	1329
466	1162	1326
467	1164	1323
468	1166	1320
469	1168	1317
470	1170	1314
471	1172	1311
472	1174	1309
473	1177	1306
474	1179	1303
475	1181	1300
476	1183	1297
477	1185	1294
478	1187	1291
479	1188	1287
480	1190	1284
481	1192	1281
482	1194	1278
483	1196	1275
484	1198	1272
485	1200	1269
486	1202	1266
487	1203	1262
488	1205	1260
489	1207	1256
490	1208	1253
491	1210	1249
492	1213	1247
493	1214	1244
494	1216	1241
495	1218	1238
496	1220	1234
497	1221	1231
498	1223	1227
499	1224	1224
500	1226	1221
501	1227	1218
502	1229	1215
503	1231	1211
504	1233	1208
505	1234	1205
506	1236	1202
507	1238	1199
508	1240	1196
509	1242	1193
510	1244	1190
511	1245	1187
512	1247	1184
513	1249	1181
514	1251	1178
515	1252	1174
516	1255	1172
517	1256	1169
518	1258	1166
519	1260	1163
520	1262	1160
521	1263	1157
522	1265	1154
523	1267	1151
524	1269	1148
525	1270	1145
526	1272	1142
527	1274	1139
528	1275	1135
529	1277	1132
530	1279	1129
531	1280	1126
532	1282	1123
533	1284	1120
534	1286	1117
535	1287	1114
536	1289	1111
537	1291	1108
538	1292	1105
539	1294	1102
540	1296	1099
541	1298	1096
542	1299	1093
543	1301	1090
544	1303	1087
545	1304	1084
546	1306	1081
547	1307	1078
548	1309	1075
549	1311	1073
550	1312	1069
551	1314	1066
552	1316	1064
553	1318	1061
554	1319	1058
555	1321	1055
556	1323	1052
557	1324	1049
558	1326	1046
559	1328	1043
560	1330	1040
561	1331	1038
562	1333	1035
563	1335	1032
564	1337	1029
565	1339	1026
566	1340	1024
567	1342	1021
568	1343	1018
569	1345	1015
570	1347	1012
571	1349	1009
572	1351	1006
573	1353	1004
574	1354	1001
575	1356	998
576	1358	995
577	1360	993
578	1361	990
579	1363	987
580	1365	984
581	1367	981
582	1368	978
583	1370	976
584	1372	973
585	1373	970
586	1375	967
587	1377	965
588	1379	962
589	1380	959
590	1382	956
591	1384	954
592	1386	951
593	1388	948
594	1389	946
595	1391	943
596	1393	940
597	1395	937
598	1397	935
599	1398	932
600	1400	929
601	1402	927
602	1403	924
603	1405	921
604	1407	918
605	1409	916
606	1411	913
607	1412	910
608	1414	908
609	1416	905
610	1417	902
611	1419	899
612	1421	897
613	1422	894
614	1424	891
615	1426	889
616	1428	886
617	1429	883
618	1431	881
619	1433	878
620	1435	876
621	1437	873
622	1440	871
623	1441	868
624	1443	865
625	1445	863
626	1446	860
627	1448	857
628	1449	855
629	1452	852
630	1453	850
631	1455	847
632	1457	845
633	1459	842
634	1461	839
635	1463	837
636	1465	834
637	1466	832
638	1468	829
639	1470	827
640	1472	824
641	1474	822
642	1476	819
643	1478	817
644	1479	814
645	1481	811
646	1483	809
647	1485	806
648	1486	803
649	1488	801
650	1490	798
651	1491	796
652	1493	793
653	1495	791
654	1496	788
655	1498	785
656	1500	783
657	1501	780
658	1503	777
659	1505	775
660	1507	773
661	1508	770
662	1510	767
663	1512	765
664	1514	762
665	1516	760
666	1518	758
667	1521	755
668	1522	753
669	1524	750
670	1525	748
671	1527	745
672	1529	743
673	1532	741
674	1533	738
675	1535	736
676	1537	733
677	1539	731
678	1541	728
679	1542	726
680	1544	723
681	1546	721
682	1548	718
683	1549	715
684	1551	713
685	1552	710
686	1554	708
687	1556	705
688	1557	703
689	1559	700
690	1561	698
691	1562	695
692	1564	693
693	1566	690
694	1567	687
695	1569	685
696	1570	682
697	1572	680
698	1574	677
699	1575	675
700	1577	672
701	1578	670
702	1580	667
703	1581	665
704	1583	662
705	1584	659
706	1586	657
707	1587	654
708	1589	652
709	1591	649
710	1592	647
711	1594	644
712	1595	642
713	1597	639
714	1598	637
715	1600	634
716	1602	632
717	1603	629
718	1605	627
719	1607	624
720	1608	622
721	1610	620
722	1611	617
723	1613	615
724	1615	612
725	1617	610
726	1618	607
727	1620	605
728	1621	602
729	1623	600
730	1625	598
731	1627	595
732	1628	593
733	1630	591
734	1632	588
735	1634	586
736	1636	583
737	1637	581
738	1639	579
739	1641	576
740	1643	574
741	1645	572
742	1646	569
743	1648	567
744	1650	564
745	1651	562
746	1653	560
747	1655	557
748	1657	555
749	1659	553
750	1660	550
751	1662	548
752	1664	545
753	1666	543
754	1667	541
755	1669	538
756	1670	536
757	1672	534
758	1674	531
759	1676	529
760	1677	526
761	1679	524
762	1681	522
763	1682	519
764	1684	517
765	1686	515
766	1688	512
767	1689	510
768	1691	508
769	1693	505
770	1695	503
771	1697	501
772	1698	498
773	1700	496
774	1702	494
775	1704	492
776	1706	489
777	1708	487
778	1709	485
779	1711	482
780	1713	480
781	1715	478
782	1718	476
783	1720	473
784	1722	471
785	1724	469
786	1727	467
787	1729	465
788	1731	462
789	1733	460
790	1734	458
791	1736	456
792	1738	453
793	1739	451
794	1741	449
795	1743	446
796	1745	444
797	1747	442
798	1748	439
799	1750	437
800	1752	435
801	1754	433
802	1755	430
803	1757	428
804	1759	426
805	1761	423
806	1763	421
807	1764	419
808	1766	417
809	1768	414
810	1769	412
811	1771	410
812	1773	407
813	1775	405
814	1777	403
815	1779	401
816	1780	398
817	1782	396
818	1784	394
819	1785	392
820	1787	389
821	1789	387
822	1790	385
823	1792	382
824	1793	380
825	1795	378
826	1796	375
827	1798	373
828	1799	371
829	1801	368
830	1803	366
831	1804	364
832	1806	362
833	1807	359
834	1809	357
835	1810	355
836	1812	352
837	1814	350
838	1816	348
839	1817	346
840	1819	343
841	1820	341
842	1822	339
843	1823	337
844	1825	334
845	1826	332
846	1828	330
847	1830	328
848	1831	325
849	1833	323
850	1835	321
851	1837	319
852	1839	316
853	1840	314
854	1842	312
855	1844	310
856	1845	308
857	1847	305
858	1849	303
859	1850	301
860	1852	299
861	1853	296
862	1855	294
863	1857	292
864	1859	290
865	1860	287
866	1862	285
867	1864	283
868	1866	281
869	1867	279
870	1869	276
871	1871	274
872	1872	272
873	1874	270
874	1876	268
875	1878	265
876	1879	263
877	1881	261
878	1883	259
879	1885	257
880	1887	254
881	1889	252
882	1891	250
883	1892	248
884	1895	246
885	1897	244
886	1898	241
887	1900	239
888	1902	237
889	1904	235
890	1906	233
891	1907	230
892	1909	228
893	1910	226
894	1912	224
895	1914	222
896	1915	219
897	1917	217
898	1918	215
899	1920	213
900	1922	211
901	1923	209
902	1925	206
903	1926	204
904	1928	202
905	1929	200
906	1931	198
907	1933	195
908	1934	193
909	1936	191
910	1938	189
911	1939	187
912	1941	185
913	1943	182
914	1944	180
915	1946	178
916	1948	176
917	1949	174
918	1951	171
919	1952	169
920	1954	167
921	1956	165
922	1957	163
923	1959	161
924	1961	159
925	1962	156
926	1964	154
927	1965	152
928	1967	150
929	1969	148
930	1970	146
931	1972	143
932	1974	141
933	1976	139
934	1977	137
935	1979	135
936	1981	133
937	1982	131
938	1984	128
939	1986	126
940	1988	124
941	1989	122
942	1991	120
943	1993	118
944	1995	116
945	1997	114
946	1998	111
947	2000	109
948	2002	107
949	2004	105
950	2005	103
951	2007	101
952	2009	99
953	2011	96
954	2012	94
955	2015	92
956	2016	90
957	2018	88
958	2019	86
959	2021	84
960	2023	82
961	2025	79
962	2026	77
963	2028	75
964	2029	73
965	2031	71
966	2032	69
967	2034	67
968	2035	65
969	2037	63
970	2039	60
971	2040	58
972	2042	56
973	2043	54
974	2045	52
975	2046	50
976	2048	48
977	2050	46
978	2052	44
979	2053	41
980	2055	39
981	2057	37
982	2058	35
983	2060	33
984	2062	31
985	2063	29
986	2065	27
987	2067	25
988	2068	23
989	2070	20
990	2071	18
991	2073	16
992	2074	14
993	2076	12
994	2078	10
995	2079	8
996	2081	6
997	2082	4
998	2084	2
999	2085	0
